empresa_id,region,sector,actividad_ciiu,tamano,anio_ruc,personal_ocupado,remuneraciones,produccion_total,ventas_bienes_producidos,ventas_mercaderias,ventas_servicios,materia_prima,suministros_repuestos,total_insumos,consumo_intermedio,valor_agregado,gastos_operacionales,total_gastos_operacionales,gastos_financieros,arrendamientos,depreciaciones,formacion_capital_fijo,agua_m3,factor_expansion
EMP-1804,Sierra,Servicios,Actividades financieras y de seguros,Mediana Empresa B,2003,58,802535,2158959,0,0.0,2115041.0,0,6238.0,6238.0,407995,1750964,115848,401757,25384,6992.0,8249,0.0,0.0,1.220338983
EMP-1805,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Mediana Empresa A,1997,24,105915,153677,0,1111510.0,0.0,0,0.0,0.0,48682,104995,46932,48682,0,733.0,0,-236965.0,1642.0,1.0
EMP-1806,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Mediana Empresa B,2001,37,712799,1845962,0,4918411.0,0.0,0,50133.0,50133.0,469435,1376527,213868,419302,4248,46360.0,71419,0.0,7615.0,1.0
EMP-1807,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2008,20,265661,723391,0,5437059.0,0.0,0,18815.0,18815.0,302583,420808,197302,283768,1326,46800.0,13236,8948.0,1118.0,1.0
EMP-1808,Costa,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Mediana Empresa B,2009,29,321529,2111073,0,4433304.0,0.0,0,85801.0,85801.0,1139369,971704,306748,1053568,0,0.0,50083,0.0,49.0,1.0
EMP-1809,Costa,Servicios,Actividades financieras y de seguros,Grande Empresa,1994,196,5106408,33407646,0,0.0,33407646.0,0,65310.0,65310.0,9904701,23502945,1917908,9839391,0,195616.0,523381,517816.0,69945.0,1.0
EMP-1810,Sierra,Servicios,Información y comunicación,Mediana Empresa B,2009,0,0,3130915,0,0.0,3130915.0,0,0.0,0.0,2891469,239446,6320,2891469,864,0.0,0,0.0,0.0,1.0
EMP-1811,Costa,Minería,Explotación de minas y canteras,Grande Empresa,2009,53,1511243,8758971,8475313,0.0,247547.0,0,620200.0,620200.0,3787817,4971154,1897705,3167617,2668,13145.0,606205,162717.0,13339.0,1.0
EMP-1812,Sierra,Manufactura,Industrias manufactureras,Grande Empresa,1987,175,2686639,7430191,7212759,0.0,5777.0,2285133,115958.0,2401091.0,4027851,3402340,1259347,1626760,28656,72387.0,114465,167322.0,30000.0,1.0
EMP-1813,Sierra,Comercio,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas,Grande Empresa,2010,0,0,3148693,0,8916281.0,307955.0,0,38.0,38.0,695878,2452815,580675,695840,244,480.0,0,0.0,0.0,1.0
